product_id,name,category,color,pattern,occasion,description
tshirt_001,Casual White T-Shirt,top,white,solid,casual,"Soft cotton white t-shirt for everyday casual wear"
jeans_004,Blue Slim Jeans,bottom,blue,solid,casual,"Slim fit blue denim jeans, versatile casual staple"
sneaker_002,White Sneakers,footwear,white,solid,casual,"Classic white sneakers for casual outfits"
croptop_003,Striped Crop Top,top,multicolor,striped,casual,"Striped crop top, trendy casual wear"
shorts_005,Denim Shorts,bottom,blue,solid,casual,"Casual blue denim shorts for summer"
tote_006,Canvas Tote Bag,accessory,beige,solid,casual,"Everyday canvas tote bag accessory"
graphictee_007,Graphic Tee,top,black,graphic,casual,"Black graphic print t-shirt streetwear"
momjeans_008,Mom-Fit Jeans,bottom,blue,solid,casual,"Relaxed mom-fit blue jeans"
buckethat_009,Bucket Hat,accessory,black,solid,casual,"Trendy black bucket hat accessory"
kurta_010,Embroidered Ethnic Kurta,top,red,embroidered,ethnic,"Festive red embroidered kurta for ethnic occasions"
palazzo_011,Printed Palazzo Pants,bottom,red,printed,ethnic,"Printed palazzo pants for ethnic festive wear"
jhumka_012,Traditional Jhumka Earrings,accessory,gold,solid,ethnic,"Gold traditional jhumka earrings"
leggings_013,Athletic Leggings,bottom,black,solid,athleisure,"High-waist black athletic leggings for workouts"
sports_bra_014,Sports Bra,top,grey,solid,athleisure,"Breathable grey sports bra for training"
running_shoes_015,Running Shoes,footwear,grey,solid,athleisure,"Lightweight grey running shoes"
blazer_016,Formal Black Blazer,top,black,solid,formal,"Tailored black blazer for formal occasions"
trousers_017,Formal Trousers,bottom,black,solid,formal,"Slim fit black formal trousers"
heels_018,Black Heels,footwear,black,solid,formal,"Classic black formal heels"
saree_019,Silk Festive Saree,top,green,printed,ethnic,"Green printed silk saree for festive occasions"
clutch_020,Embellished Clutch,accessory,gold,solid,ethnic,"Gold embellished clutch for ethnic outfits"
